study_ID,long_cite,bibtex_cite,year,expt_num,author_disciplines,AUTHOR_DISCIPLINE_1,AUTHOR_DISCIPLINE_2,AUTHOR_DISCIPLINE_3,study_type,psychological_target_outcome,PSY_TARGET_OUTCOME_CODE,psychological_measured_outcome,application_scenario,APPL_SCENARIOS_CODE,exp_type,number_of_sessions,NUMB_SESSIONS_CODE,N,study_design,notes_design,target_population,age_range,mean_age,gender,NB_CODE,FEMALE_CODE,MALE_CODE,sex_vs_gender,language,country,COUNTRY_CODE,notes_population,robot_model_1,robot_model_2,robot_model_3,robot_model_4,robot_model_5,robot_interactivity,observing_interacting,robot_operation,other_technologies,affect_behavior_generation_capabilities,generation_autonomy_level,affect_perception_capabilities,perception_autonomy_level,technological,design,ethical,affective,others (emp-study),inclusion_of_clinical_practice,theories_grounded,notes_others,notes_theories_grounded_implementation,data_collection_method,evaluation_method,notes_methods,computation_model_approaches,design_stakeholder_involvement,design_involved_stakeholders,design_method,ethical_user_safety,ethical_societal,ethical_implication_discussed,notes,ethical_external,ethical_internal,eligibility_decision,notes_elegibility_decision
P400,"Triantafyllidis, A., Alexiadis, A., Elmas, D., Votis, K., & Tzovaras, D. (2019, October). A social robot-based platform for prevention of childhood obesity. In 2019 IEEE 19th International Conference on Bioinformatics and Bioengineering (BIBE) (pp. 914-917). IEEE.","@inproceedings{triantafyllidis2019social,
  title={A social robot-based platform for prevention of childhood obesity},
  author={Triantafyllidis, Andreas and Alexiadis, Anastasios and Elmas, Dimosthenis and Votis, Konstantinos and Tzovaras, Dimitrios},
  booktitle={2019 IEEE 19th International Conference on Bioinformatics and Bioengineering (BIBE)},
  pages={914--917},
  year={2019},
  organization={IEEE}
}",2019,1,"Information Technologies Institute
Centre for Research and Technology
Hellas (CERTH)
Thessaloniki, Greece",CS,,,QUANT,physical well-being,physical health,usability,childhood obesity,SOCIAL,LAB,1,SINGLE,10,single session,,neurotypical,"27, 44",33,"M6, F4",0,4,6,SEX,greek,Greece,Southern Europe,,COZMO,,,,,physical,interacting,A,laptop,N.R.,A,N.R.,A,0,1,0,0,1,0,0,single session study,,QUESTIONNAIRES,statistical test,,STATISTICAL,N/A,N/A,N/A,N.R.,N.R.,0,,0,0,Y,
P401,"Shao, M., Alves, S. F. D. R., Ismail, O., Zhang, X., Nejat, G., & Benhabib, B. (2019, October). You are doing great! only one rep left: an affect-aware social robot for exercising. In 2019 IEEE International Conference on Systems, Man and Cybernetics (SMC) (pp. 3811-3817). IEEE.","@inproceedings{shao2019you,
  title={You are doing great! only one rep left: an affect-aware social robot for exercising},
  author={Shao, Mingyang and Alves, Silas Franco Dos Reis and Ismail, Omar and Zhang, Xinyi and Nejat, Goldie and Benhabib, Beno},
  booktitle={2019 IEEE International Conference on Systems, Man and Cybernetics (SMC)},
  pages={3811--3817},
  year={2019},
  organization={IEEE}
}",2019,1,"Department of Mechanical and Industrial
Engineering, University of Toronto, Toronto, Canada",ENG,,,QUANT,physical well-being,physical health,"emotional states, user acceptance",elderly healthcare,SOCIAL,LAB,1,SINGLE,15,single session,,neurotypical,"22, 36",25,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,Canada,North America,,PEPPER,,,,,physical,interacting,A,0,0,A,emotion recognition (user affective state and engagement),A,1,0,0,1,,0,0,,,MIXED,statistical tests,,ML,N/A,N/A,N/A,N.R.,N.R.,0,,0,0,Y,
P402,"Boumans, R., Van Meulen, F., Hindriks, K., Neerincx, M., & Rikkert, M. G. O. (2019). Robot for health data acquisition among older adults: a pilot randomised controlled cross-over trial. BMJ quality & safety, 28(10), 793-799.","@article{boumans2019robot,
  title={Robot for health data acquisition among older adults: a pilot randomised controlled cross-over trial},
  author={Boumans, Roel and Van Meulen, Fokke and Hindriks, Koen and Neerincx, Mark and Rikkert, Marcel GM Olde},
  journal={BMJ quality \& safety},
  volume={28},
  number={10},
  pages={793--799},
  year={2019},
  publisher={BMJ Publishing Group Ltd}
}",2019,1,"1
Department of Geriatrics,
Radboud University Medical
Center, Nijmegen, The
Netherlands
2
Faculty of Electrical
Engineering, Mathematics
and Computer Science, Delft
University of Technology, Delft,
The Netherlands",MED,CS,,QUANT,health assessment,assessment,health assessment,elderly healthcare,HEALTH,CARE-CENTER,1,SINGLE,42,RCT,participants interacted with a nurse vs. a robot,elderly,N.R.,77.1,"F19, M23",0,19,23,SEX,dutch,Netherlands,Western Europe,,PEPPER,,,,,physical,interacting,A,tablet on the chest of the robto,N.R.,A,N.R.,A,0,1,0,0,,1,1,,self-patient report of wellbeing,QUESTIONNAIRES,statistical tests,,STATISTICAL,user-centred,nurses,N/A,N.R.,N.R.,0,,0,1,Y,
P403,"Romeo, M., Hernández García, D., Jones, R., & Cangelosi, A. (2019, September). Deploying a Deep Learning Agent for HRI with Potential"" end-users"" at Multiple Sheltered Housing Sites. In Proceedings of the 7th International Conference on Human-Agent Interaction (pp. 81-88).","@inproceedings{romeo2019deploying,
  title={Deploying a Deep Learning Agent for HRI with Potential"" end-users"" at Multiple Sheltered Housing Sites},
  author={Romeo, Marta and Hern{\'a}ndez Garc{\'\i}a, Daniel and Jones, Ray and Cangelosi, Angelo},
  booktitle={Proceedings of the 7th International Conference on Human-Agent Interaction},
  pages={81--88},
  year={2019}
}",2019,1,"The University of Manchester
Artificial Intelligence Research Centre, AIST, University of Plymouth
",CS,,,QUANT,loneliness,loneliness,N/A,elderly healthcare,TECHNICAL,HOME,1,SINGLE,46,single session,,neurotypical,"25,92",68.26,"F32, M14",0,32,14,SEX,english,UK,Northern Europe,,PEPPER,,,,,physical,interacting,A,N/A,N.R.,A,N.R.,A,1,0,0,0,,1,0,,,SCORES,model performances,,DEEP LEARNING,N/A,N/A,N/A,N.R.,N.R.,0,,0,0,Y,
P405,"Cao, H. L., Van de Perre, G., Kennedy, J., Senft, E., Esteban, P. G., De Beir, A., ... & Vanderborght, B. (2018). A personalized and platform-independent behavior control system for social robots in therapy: development and applications. IEEE Transactions on Cognitive and Developmental Systems, 11(3), 334-346.","@article{cao2018personalized,
  title={A personalized and platform-independent behavior control system for social robots in therapy: development and applications},
  author={Cao, Hoang-Long and Van de Perre, Greet and Kennedy, James and Senft, Emmanuel and Esteban, Pablo G{\'o}mez and De Beir, Albert and Simut, Ramona and Belpaeme, Tony and Lefeber, Dirk and Vanderborght, Bram},
  journal={IEEE Transactions on Cognitive and Developmental Systems},
  volume={11},
  number={3},
  pages={334--346},
  year={2018},
  publisher={IEEE}
}",2018,1,"Robotics and Multibody Mechanics Research
Group, Flanders Make, Vrije Universiteit Brussel, 1050 Brussels, Belgium, Centre for Robotics
and Neural Systems, Plymouth University, Plymouth PL4 8AA, U.K, Department of Clinical and Life Span Psychology,
Vrije Universiteit Brussel, 1050 Brussels, Belgium",CS,PSY,,QUANT,joint attention,other,N/A,healthcare,TECHNICAL,LAB,1,SINGLE,1,single session,,ASD,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N/R,,NAO,,,,,physical,interacting,A,N/A,emotional expression,A,emotional recognition,A,1,0,0,1,,0,0,,,N/A,"user study validation, to check the system",,CONTROL SYSTEM,N/A,N/A,N/A,ethical boundaries,N.R.,1,,0,0,Y,
P405,"Cao, H. L., Van de Perre, G., Kennedy, J., Senft, E., Esteban, P. G., De Beir, A., ... & Vanderborght, B. (2018). A personalized and platform-independent behavior control system for social robots in therapy: development and applications. IEEE Transactions on Cognitive and Developmental Systems, 11(3), 334-346.","@article{cao2018personalized,
  title={A personalized and platform-independent behavior control system for social robots in therapy: development and applications},
  author={Cao, Hoang-Long and Van de Perre, Greet and Kennedy, James and Senft, Emmanuel and Esteban, Pablo G{\'o}mez and De Beir, Albert and Simut, Ramona and Belpaeme, Tony and Lefeber, Dirk and Vanderborght, Bram},
  journal={IEEE Transactions on Cognitive and Developmental Systems},
  volume={11},
  number={3},
  pages={334--346},
  year={2018},
  publisher={IEEE}
}",2018,2,"Robotics and Multibody Mechanics Research
Group, Flanders Make, Vrije Universiteit Brussel, 1050 Brussels, Belgium, Centre for Robotics
and Neural Systems, Plymouth University, Plymouth PL4 8AA, U.K, Department of Clinical and Life Span Psychology,
Vrije Universiteit Brussel, 1050 Brussels, Belgium",CS,PSY,,QUANT,music therapy,well-being,N/A,healthcare,TECHNICAL,LAB,1,SINGLE,1,N/A,,elderly,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N/R,,PEPPER,,,,,physical,interacting,A,N/A,emotional expression,A,emotional recognition,A,1,0,0,1,,0,0,,,N/A,"user study validation, to check the system",,CONTROL SYSTEM,N/A,N/A,N/A,ethical boundaries,N.R.,1,,0,0,Y,
P405,"Cao, H. L., Van de Perre, G., Kennedy, J., Senft, E., Esteban, P. G., De Beir, A., ... & Vanderborght, B. (2018). A personalized and platform-independent behavior control system for social robots in therapy: development and applications. IEEE Transactions on Cognitive and Developmental Systems, 11(3), 334-346.","@article{cao2018personalized,
  title={A personalized and platform-independent behavior control system for social robots in therapy: development and applications},
  author={Cao, Hoang-Long and Van de Perre, Greet and Kennedy, James and Senft, Emmanuel and Esteban, Pablo G{\'o}mez and De Beir, Albert and Simut, Ramona and Belpaeme, Tony and Lefeber, Dirk and Vanderborght, Bram},
  journal={IEEE Transactions on Cognitive and Developmental Systems},
  volume={11},
  number={3},
  pages={334--346},
  year={2018},
  publisher={IEEE}
}",2018,3,"Robotics and Multibody Mechanics Research
Group, Flanders Make, Vrije Universiteit Brussel, 1050 Brussels, Belgium, Centre for Robotics
and Neural Systems, Plymouth University, Plymouth PL4 8AA, U.K, Department of Clinical and Life Span Psychology,
Vrije Universiteit Brussel, 1050 Brussels, Belgium",CS,PSY,,QUANT,physical training,physical health,N/A,healthcare,TECHNICAL,LAB,1,SINGLE,1,single session,,neurotypical,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N/R,,NAO,,,,,physical,interacting,A,N/A,emotional expression,A,emotion recognition,N/A,1,0,0,1,,0,0,,,N/A,"user study validation, to check the system",,CONTROL SYSTEM,N/A,N/A,N/A,ethical boundaries,N.R.,1,,0,0,Y,
P406,"Rhim, J., Cheung, A., Pham, D., Bae, S., Zhang, Z., Townsend, T., & Lim, A. (2019, September). Investigating positive psychology principles in affective robotics. In 2019 8th International Conference on Affective Computing and Intelligent Interaction (ACII) (pp. 1-7). IEEE.","@inproceedings{rhim2019investigating,
  title={Investigating positive psychology principles in affective robotics},
  author={Rhim, Jimin and Cheung, Anthony and Pham, David and Bae, Subin and Zhang, Zhitian and Townsend, Trista and Lim, Angelica},
  booktitle={2019 8th International Conference on Affective Computing and Intelligent Interaction (ACII)},
  pages={1--7},
  year={2019},
  organization={IEEE}
}",2019,1,"GSCT
KAIST
Daejeon, South Korea, Computing Science
Simon Fraser University
Burnaby, Canada",CS,,,QUANT,well-being,well-being,positive mood,healthcare,MENTAL,LAB,1,SINGLE,78,between-subject,"paired groups, half of them in the affective condition, and the other half in the neutral conditio",neurotypical,N.R.,N.R.,"M48, F30",0,30,48,SEX,english,Canada,North America,,PEPPER,,,,,physical,interacting,WoZ,N/A,emotional expression,WoZ,N.R.,WoZ,0,1,0,1,1,0,0,empirical study,,QUESTIONNAIRES,statistical tests,,STATISTICAL,N/A,N/A,N/A,N.R.,N.R.,0,,0,0,Y,
P413,"Olde Keizer, R. A., van Velsen, L., Moncharmont, M., Riche, B., Ammour, N., Del Signore, S., ... & N’Dja, A. (2019). Using socially assistive robots for monitoring and preventing frailty among older adults: a study on usability and user experience challenges. Health and technology, 9, 595-605.","@article{olde2019using,
  title={Using socially assistive robots for monitoring and preventing frailty among older adults: a study on usability and user experience challenges},
  author={Olde Keizer, Richelle ACM and van Velsen, Lex and Moncharmont, Mathieu and Riche, Brigitte and Ammour, Nadir and Del Signore, Susanna and Zia, Gianluca and Hermens, Hermie and N’Dja, Aur{\`e}le},
  journal={Health and technology},
  volume={9},
  pages={595--605},
  year={2019},
  publisher={Springer}
}",2019,1,"eHealth Group, Roessingh Research and Development, Roessinghsbleekweg 33b, 7522AH, Enschede, The Netherlands
Biomedical Signals and Systems Group, University of Twente, Enschede, The Netherlands, Sanofi, Paris, France, Bluecompanion LTD, London, UK, Caretek s.r.l., Torino, Italy


",ENG,,,QUANT,physical training,physical health,usability of the system,elderly healthcare,SOCIAL,N.R.,1,SINGLE,20,single session,,elderly,"70, N.R.",78.5,"M12, F8",0,8,12,SEX,dutch,Netherlands,Western Europe,,NAO,,,,,physical,interacting,N.R.,tablet,N.R.,N.R.,N.R.,N.R.,0,1,0,0,1,0,0,single session study,,QUESTIONNAIRES,statistical tests,,STATISTICAL,N/A,N/A,N/A,N/A,N.R.,0,,0,1,Y,about the ethics approval they have reported that it was not necessary
P414,"Shukla, J., Cristiano, J., Oliver, J., & Puig, D. (2019). Robot assisted interventions for individuals with intellectual disabilities: impact on users and caregivers. International Journal of Social Robotics, 11, 631-649.","@article{shukla2019robot,
  title={Robot assisted interventions for individuals with intellectual disabilities: impact on users and caregivers},
  author={Shukla, Jainendra and Cristiano, Juli{\'a}n and Oliver, Joan and Puig, Dom{\`e}nec},
  journal={International Journal of Social Robotics},
  volume={11},
  pages={631--649},
  year={2019},
  publisher={Springer}
}",2019,1,"Indraprastha Institute of Information Technology, Delhi (IIIT-D), New Delhi, India
Instituto de Robótica para la Dependencia, Sitges, Barcelona, Spain
Intelligent Robotics and Computer Vision Group, Universitat Rovira i Virgili, Tarragona, Spain, ",CS,,,QUANT,rehabilitation,physical health,N/A,therapeutic,THER,LAB,1,SINGLE,7,N/A,interviews study,neurotypical,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N/R,experts caregivers working with people with intellectual disabilities,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,,1,0,,,INTERVIEWS,N.R.,,N/A,user-centred,caregivers,interviews,N.R.,N.R.,0,,0,0,Y,
P414,"Shukla, J., Cristiano, J., Oliver, J., & Puig, D. (2019). Robot assisted interventions for individuals with intellectual disabilities: impact on users and caregivers. International Journal of Social Robotics, 11, 631-649.","@article{shukla2019robot,
  title={Robot assisted interventions for individuals with intellectual disabilities: impact on users and caregivers},
  author={Shukla, Jainendra and Cristiano, Juli{\'a}n and Oliver, Joan and Puig, Dom{\`e}nec},
  journal={International Journal of Social Robotics},
  volume={11},
  pages={631--649},
  year={2019},
  publisher={Springer}
}",2019,2,"Indraprastha Institute of Information Technology, Delhi (IIIT-D), New Delhi, India
Instituto de Robótica para la Dependencia, Sitges, Barcelona, Spain
Intelligent Robotics and Computer Vision Group, Universitat Rovira i Virgili, Tarragona, Spain, ",CS,,,QUANT,rehabilitation,physical health,N/A,therapeutic,THER,N.R.,1,SINGLE,6,single session,,intellectual disability,"33, 67",49.83,"F5, M1",0,5,1,SEX,N.R.,N.R.,N/R,,NAO,,,,,physical,interacting,A,tablet,N.R.,A,N/A,N/A,0,1,0,0,1,1,0,single session study,,QUESTIONNAIRES,statistical tests,,N/A,N/A,caregivers,N/A,N.R.,N.R.,0,,0,0,Y,
P419,"Feng, Y., Yu, S., Van De Mortel, D., Barakova, E., Hu, J., & Rauterberg, M. (2019, June). LiveNature: Ambient display and social robot-facilitated multi-sensory engagement for people with dementia. In Proceedings of the 2019 on designing interactive systems conference (pp. 1321-1333).","@inproceedings{feng2019livenature,
  title={LiveNature: Ambient display and social robot-facilitated multi-sensory engagement for people with dementia},
  author={Feng, Yuan and Yu, Suihuai and Van De Mortel, Dirk and Barakova, Emilia and Hu, Jun and Rauterberg, Matthias},
  booktitle={Proceedings of the 2019 on designing interactive systems conference},
  pages={1321--1333},
  year={2019}
}",2019,1,"Eindhoven University of Technology, Eindhoven, the Netherlands
2Northwestern Polytechnical University, Xi’an, China",N.R.,,,QUAL,well-being,well-being,engagement,elderly healthcare,SOCIAL,CARE-CENTER,1,SINGLE,9,single session,,dementia,"78,92",84.1,"M2, F7",0,7,5,SEX,Dutch,Netherlands,Western Europe,,CUSTOM,,,,,physical,interacting,N.R.,projector for immersive ambient,N.R.,N.R.,N.R.,N.R.,0,1,0,0,,1,0,,,MIXED,qualitative analysis,observations + interviews,N/A,user-centred,"family members, caregivers",iterative design process,N.R.,"protection of users autonomy, privacy and dignity",1,,1,0,Y,
P420,"Ritschel, H., Seiderer, A., Janowski, K., Wagner, S., & André, E. (2019, June). Adaptive linguistic style for an assistive robotic health companion based on explicit human feedback. In Proceedings of the 12th ACM international conference on PErvasive technologies related to assistive environments (pp. 247-255).","@inproceedings{ritschel2019adaptive,
  title={Adaptive linguistic style for an assistive robotic health companion based on explicit human feedback},
  author={Ritschel, Hannes and Seiderer, Andreas and Janowski, Kathrin and Wagner, Stefan and Andr{\'e}, Elisabeth},
  booktitle={Proceedings of the 12th ACM international conference on PErvasive technologies related to assistive environments},
  pages={247--255},
  year={2019}
}",2019,1,"Human-Centered Multimedia, Augsburg University
Augsburg, Germany",CS,,,QUANT,N.R.,N.R.,N.R.,elderly healthcare,TECHNICAL,CARE-CENTER,1,SINGLE,2,single session,,elderly,"61, 64",62.5,"F1, M1",0,1,1,SEX,german,Germany,Western Europe,,Reeti,,,,,physical,interacting,A,screen to interact with games,N.R.,A,N.R.,A,1,0,0,0,,0,0,,,OBSERVATIONS,,,RL,N/A,N/A,N/A,N.R.,N.R.,0,,0,0,Y,
P431,"Van der Putte, D., Boumans, R., Neerincx, M., Rikkert, M. O., & De Mul, M. (2019, March). A social robot for autonomous health data acquisition among hospitalized patients: an exploratory field study. In 2019 14th ACM/IEEE international conference on human-robot interaction (HRI) (pp. 658-659). IEEE.","@inproceedings{van2019social,
  title={A social robot for autonomous health data acquisition among hospitalized patients: an exploratory field study},
  author={Van der Putte, Daisy and Boumans, Roel and Neerincx, Mark and Rikkert, Marcel Olde and De Mul, Marleen},
  booktitle={2019 14th ACM/IEEE international conference on human-robot interaction (HRI)},
  pages={658--659},
  year={2019},
  organization={IEEE}
}",2019,1,"health policy and management, geriatrics, CS",CS,MED,HUM,QUANT,wellbeing,well-being,"trust, sociability",clinical,SOCIAL,HOSPITAL,1,SINGLE,35,descriptive statistics,,adults with medical problems,"21, 88",64.1,"20F, 15M",0,20,15,sex,Dutch,Netherlands,Western Europe,,PEPPER,N/A,N/A,N/A,N/A,physical,interacting,A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,,1,N/A,,N/A,QUESTIONNAIRES,N/A,,STATISTICAL,user-centered,target population,interaction,N/A,N/A,0,,0,1,Y,
P435,"Björling, E. A., & Rose, E. (2019). Participatory research principles in human-centered design: engaging teens in the co-design of a social robot. Multimodal Technologies and Interaction, 3(1), 8.","@article{bjorling2019participatory,
  title={Participatory research principles in human-centered design: engaging teens in the co-design of a social robot},
  author={Bj{\""o}rling, Elin A and Rose, Emma},
  journal={Multimodal Technologies and Interaction},
  volume={3},
  number={1},
  pages={8},
  year={2019},
  publisher={MDPI}
}",2019,1,"engineering, interdisciplinary arts & sciences",ENG,ART,,QUAL,"stress, mood",stress,N/A,school,EDU,SCHOOL,1,SINGLE,N.R.,observation,Participatory design,adolescents,N.R.,N.R.,N/A,0,0,0,N/A,English,US,North America,,N/A,N/A,N/A,,,N/A,,N/A,N/A,,N/A,N/A,N/A,0,1,1,0,,0,1,,N/A,OBSERVATIONS,,,N/A,PD,teens,collaborative storyboarding,deception,N/A,1,,0,0,Y,
